order_id,order_date,revenue,region,product_category,customer_type,marketing_channel,units,discount_percent,gross_margin,payment_method
ORD-XAQF-000095,2025-01-02,512.59,West,Electronics,Returning,Referral,3,15.96,89.57,Card
ORD-UBBH-000096,2025-01-02,179.74,East,Home,Returning,Email,2,5.24,67.79,Card
ORD-YECW-000097,2025-01-02,71.07,West,Accessories,Returning,Social,3,7.76,35.98,Card
ORD-LQCC-000098,2025-01-02,98.75,East,Home,New,Paid Search,1,10.79,32.58,Bank Transfer
ORD-ZTCP-000099,2025-01-02,137.90,Central,Apparel,New,Social,3,17.52,50.07,Card
ORD-LNMT-000100,2025-01-02,49.48,West,Apparel,New,Email,1,9.93,19.59,Wallet
ORD-WZNE-000101,2025-01-02,86.60,North,Sports,Returning,Email,1,6.65,31.62,Card
ORD-IFJD-000102,2025-01-02,29.41,North,Accessories,New,Referral,1,10.10,14.38,Card
ORD-BYSU-000103,2025-01-02,91.79,South,Home,New,Referral,1,3.62,33.00,COD
ORD-GZYJ-000104,2025-01-02,201.34,North,Sports,Returning,Paid Search,2,2.31,86.22,Card
ORD-TTYQ-000105,2025-01-02,80.00,South,Home,Returning,Referral,1,14.08,24.09,Wallet
ORD-BGAL-000106,2025-01-03,36.71,South,Accessories,Returning,Social,2,11.65,17.13,Card
ORD-RZIB-000107,2025-01-03,236.58,East,Home,Returning,Referral,2,9.98,76.01,Card
ORD-ITTV-000108,2025-01-03,281.52,South,Sports,New,Social,4,11.49,102.97,Bank Transfer
ORD-YHYE-000109,2025-01-03,92.09,North,Home,Returning,Email,1,5.46,35.57,Bank Transfer
ORD-CSPE-000110,2025-01-03,104.87,West,Beauty,Returning,Organic,3,10.89,50.28,Bank Transfer
ORD-SZDU-000111,2025-01-03,124.95,West,Sports,New,Social,2,14.36,41.57,COD
ORD-EWCB-000112,2025-01-03,206.47,West,Home,New,Paid Search,2,14.56,57.69,Card
ORD-SITM-000113,2025-01-03,390.76,West,Electronics,Returning,Email,2,12.21,85.68,Card
ORD-WUSG-000114,2025-01-03,404.78,Central,Home,New,Paid Search,5,1.39,147.31,Card
ORD-ZBXZ-000115,2025-01-03,135.53,West,Apparel,Returning,Organic,3,4.43,56.62,Card
ORD-QZTU-000116,2025-01-03,61.79,East,Sports,New,Organic,1,13.48,19.41,Card
ORD-DWVZ-000117,2025-01-03,214.49,East,Electronics,New,Organic,1,8.38,55.26,Card
ORD-OOLJ-000118,2025-01-03,85.65,West,Accessories,New,Social,5,4.24,46.90,Wallet
ORD-WXWV-000119,2025-01-03,228.86,West,Apparel,New,Social,4,4.77,101.09,Card
ORD-ZQSX-000120,2025-01-03,527.22,South,Electronics,Returning,Email,3,0.00,151.44,Card
ORD-KFIK-000121,2025-01-03,356.48,South,Sports,Returning,Referral,4,8.61,121.12,Card
ORD-UJTK-000122,2025-01-03,64.10,West,Accessories,Returning,Email,2,4.31,32.99,Card
ORD-MDFK-000123,2025-01-03,70.92,North,Sports,New,Social,1,10.55,24.95,Wallet
ORD-TWCW-000124,2025-01-03,82.78,Central,Beauty,Returning,Organic,2,6.85,37.64,Card
ORD-GSAB-000125,2025-01-03,337.59,West,Home,Returning,Social,4,7.99,118.08,Card
ORD-YPWJ-000126,2025-01-03,641.29,North,Electronics,New,Paid Search,3,6.92,153.32,Wallet
ORD-KYSE-000127,2025-01-03,98.21,West,Sports,Returning,Organic,1,0.00,39.74,Card
ORD-LUIR-000128,2025-01-03,379.25,South,Electronics,Returning,Referral,3,7.72,79.91,Card
ORD-VTNR-000129,2025-01-03,181.03,West,Electronics,New,Email,1,3.64,52.38,Wallet
ORD-CSMR-000130,2025-01-03,669.23,West,Electronics,Returning,Referral,4,11.11,141.98,COD
ORD-GDMJ-000131,2025-01-03,371.48,North,Electronics,Returning,Organic,2,4.45,94.64,Wallet
ORD-OPZW-000132,2025-01-03,82.87,East,Sports,New,Referral,1,7.20,30.39,Wallet
ORD-YEAV-000133,2025-01-03,202.79,West,Electronics,Returning,Organic,1,8.74,44.77,COD
ORD-PQWO-000134,2025-01-03,189.04,East,Electronics,New,Social,1,9.06,44.43,Wallet
ORD-WYNO-000135,2025-01-03,251.52,South,Home,Returning,Paid Search,3,15.43,72.29,Card
ORD-TGOT-000136,2025-01-03,155.18,West,Electronics,New,Referral,1,11.92,32.71,Card
ORD-YNGK-000137,2025-01-03,23.54,North,Accessories,Returning,Organic,1,6.47,12.35,Wallet
ORD-YHPL-000138,2025-01-03,455.65,South,Electronics,New,Email,2,9.46,109.73,COD
ORD-TSYJ-000139,2025-01-03,81.29,Central,Accessories,New,Social,3,4.41,44.48,Wallet
ORD-EYXN-000140,2025-01-03,70.42,North,Apparel,Returning,Paid Search,1,9.49,28.95,Bank Transfer
ORD-APOU-000141,2025-01-03,46.96,East,Accessories,New,Organic,2,10.71,22.11,COD
ORD-EAPO-000142,2025-01-03,81.84,Central,Apparel,Returning,Social,2,9.11,34.93,Card
ORD-PFUO-000143,2025-01-03,87.89,Central,Sports,Returning,Email,1,11.97,29.99,Card
ORD-LRHO-000144,2025-01-03,250.61,West,Sports,Returning,Organic,3,6.68,94.76,Card
ORD-VVOZ-000145,2025-01-03,166.69,West,Apparel,New,Organic,4,9.26,64.82,COD
ORD-OJWQ-000146,2025-01-03,189.73,South,Apparel,New,Paid Search,3,9.53,81.37,Card
ORD-XTUD-000147,2025-01-03,77.76,South,Beauty,New,Paid Search,2,9.61,34.98,COD
ORD-GPZC-000148,2025-01-03,151.40,West,Sports,New,Referral,2,10.88,54.81,COD
ORD-ACEF-000149,2025-01-03,504.33,West,Electronics,New,Social,3,7.49,125.57,Card
ORD-FUFV-000150,2025-01-03,453.11,East,Electronics,New,Organic,3,12.54,103.88,Bank Transfer
ORD-GGOB-000151,2025-01-03,162.29,East,Beauty,New,Email,4,9.52,71.41,Card
ORD-JXZR-000152,2025-01-03,260.84,Central,Electronics,Returning,Referral,1,8.50,63.50,Card
ORD-NMZW-000153,2025-01-03,90.60,West,Apparel,New,Social,2,12.36,38.95,Card
ORD-YXTR-000154,2025-01-03,166.05,North,Sports,Returning,Social,2,9.67,62.74,Card
ORD-GAFK-000155,2025-01-03,100.04,West,Accessories,Returning,Paid Search,3,12.90,47.01,Card
ORD-ASVE-000156,2025-01-03,222.25,North,Sports,Returning,Social,3,7.95,87.55,COD
ORD-LZYQ-000157,2025-01-03,780.61,West,Electronics,Returning,Referral,4,8.27,175.64,Bank Transfer
ORD-HOXZ-000158,2025-01-03,175.06,South,Beauty,New,Referral,4,10.41,80.25,Card
ORD-GQXX-000159,2025-01-03,194.62,South,Home,Returning,Organic,2,9.43,63.53,Wallet
ORD-ZFIA-000160,2025-01-03,81.83,Central,Apparel,Returning,Social,2,12.85,30.25,Bank Transfer
ORD-HPQF-000161,2025-01-03,26.63,East,Accessories,New,Organic,1,9.48,13.11,Bank Transfer
ORD-KRID-000162,2025-01-03,612.95,Central,Electronics,Returning,Paid Search,3,10.90,139.47,Bank Transfer
ORD-IRZR-000163,2025-01-03,51.08,North,Apparel,Returning,Paid Search,1,7.43,21.90,Card
ORD-BTOZ-000164,2025-01-03,78.73,West,Home,New,Social,1,8.46,26.97,Bank Transfer
ORD-XFCQ-000165,2025-01-03,158.59,South,Sports,Returning,Email,2,4.41,58.65,Card
ORD-SGLF-000166,2025-01-03,157.89,South,Sports,Returning,Referral,2,11.20,52.71,Card
ORD-RCDF-000167,2025-01-03,42.09,East,Beauty,Returning,Paid Search,1,17.99,16.37,Card
ORD-XZKI-000168,2025-01-03,45.56,North,Apparel,New,Social,1,11.01,18.13,Wallet
ORD-DEWH-000169,2025-01-03,47.77,South,Beauty,Returning,Organic,1,10.10,21.23,Wallet
ORD-KIPP-000170,2025-01-04,69.73,East,Accessories,Returning,Organic,2,4.20,34.80,Wallet
ORD-BXZV-000171,2025-01-04,143.03,West,Apparel,Returning,Social,3,8.96,61.30,Card
ORD-ISGS-000172,2025-01-04,370.98,West,Electronics,Returning,Email,2,12.53,80.21,Card
ORD-VMIS-000173,2025-01-04,33.32,Central,Accessories,Returning,Organic,1,0.00,18.82,Wallet
ORD-FBAB-000174,2025-01-04,233.37,Central,Home,New,Organic,3,12.29,70.77,Wallet
ORD-GVWA-000175,2025-01-04,85.50,North,Sports,Returning,Paid Search,1,11.71,30.63,Card
ORD-VJGF-000176,2025-01-04,99.49,North,Home,New,Paid Search,1,3.54,36.54,Card
ORD-DWZP-000177,2025-01-04,98.24,East,Home,Returning,Organic,1,10.93,32.16,Bank Transfer
ORD-CYCQ-000178,2025-01-04,26.53,South,Accessories,New,Social,1,6.63,13.92,Card
ORD-YABX-000179,2025-01-04,187.52,North,Electronics,Returning,Social,1,12.11,40.55,Card
ORD-TVJA-000180,2025-01-04,109.33,East,Beauty,New,Email,3,6.76,54.23,Card
ORD-DZRR-000181,2025-01-04,55.54,East,Accessories,Returning,Organic,2,5.18,28.89,Wallet
ORD-HAEZ-000182,2025-01-04,57.37,South,Beauty,Returning,Referral,2,9.29,27.44,Wallet
ORD-UULM-000183,2025-01-04,161.89,Central,Sports,Returning,Organic,2,4.35,61.59,Card
ORD-CRVG-000184,2025-01-04,191.72,West,Electronics,New,Paid Search,1,8.64,51.25,Wallet
ORD-GKYH-000185,2025-01-04,65.82,South,Sports,New,Social,1,19.89,18.79,Card
ORD-XPOF-000186,2025-01-04,67.46,West,Beauty,Returning,Organic,2,11.93,31.24,Wallet
ORD-JAIV-000187,2025-01-04,172.14,West,Sports,New,Paid Search,2,10.86,56.70,Bank Transfer
ORD-USOJ-000188,2025-01-04,155.25,East,Sports,Returning,Referral,2,5.76,62.15,Wallet
ORD-RHUC-000189,2025-01-04,49.14,East,Accessories,New,Social,2,12.49,24.31,Bank Transfer
ORD-DKMF-000190,2025-01-04,442.23,West,Electronics,New,Paid Search,2,8.99,111.80,Card
ORD-WCFR-000191,2025-01-04,130.52,West,Accessories,Returning,Organic,5,11.32,65.50,Bank Transfer
ORD-YKPZ-000192,2025-01-04,89.37,North,Home,Returning,Organic,1,12.17,29.15,Bank Transfer
ORD-ZOQS-000193,2025-01-04,28.11,North,Beauty,New,Organic,1,22.22,10.56,Card
ORD-XHUG-000194,2025-01-04,902.99,North,Electronics,Returning,Organic,5,7.50,214.40,Bank Transfer
ORD-ZQIU-000195,2025-01-04,57.43,East,Apparel,New,Paid Search,1,11.72,21.63,Wallet
ORD-TCBC-000196,2025-01-04,185.27,West,Home,Returning,Paid Search,2,5.20,62.86,Wallet
ORD-UFPM-000197,2025-01-04,35.53,North,Beauty,Returning,Paid Search,1,11.37,15.47,Wallet
ORD-XDVP-000198,2025-01-04,383.13,Central,Electronics,New,Social,2,9.05,84.31,Card
ORD-HUBT-000199,2025-01-04,196.14,North,Electronics,Returning,Email,1,14.19,40.55,Wallet
ORD-BZMR-000200,2025-01-04,390.50,West,Home,Returning,Organic,5,8.43,143.04,Card
ORD-MFCY-000201,2025-01-04,65.08,Central,Sports,New,Referral,1,17.61,21.94,Card
ORD-RTFH-000202,2025-01-04,24.77,South,Accessories,Returning,Referral,1,8.77,12.25,Bank Transfer
ORD-LPGP-000203,2025-01-04,97.83,West,Home,Returning,Organic,1,4.16,34.05,Card
ORD-AHXF-000204,2025-01-04,229.32,West,Electronics,Returning,Email,1,3.37,63.22,Card
ORD-ZSCS-000205,2025-01-04,171.73,West,Electronics,New,Paid Search,1,18.68,34.51,Wallet
ORD-CGKE-000206,2025-01-04,148.93,South,Beauty,Returning,Email,4,14.28,65.66,Card
ORD-WOJX-000207,2025-01-04,116.24,West,Accessories,Returning,Referral,5,5.67,57.94,Card
ORD-TSGM-000208,2025-01-04,167.58,Central,Home,Returning,Social,2,11.21,54.99,COD
ORD-IDTS-000209,2025-01-05,422.27,South,Electronics,New,Email,2,0.00,120.39,Wallet
ORD-PIWW-000210,2025-01-05,182.82,North,Electronics,New,Social,1,11.79,41.83,Card
ORD-RJCB-000211,2025-01-05,262.65,South,Home,Returning,Email,3,11.36,81.85,Card
ORD-PXQL-000212,2025-01-05,154.40,Central,Home,New,Social,2,5.84,55.49,Wallet
ORD-YUAC-000213,2025-01-05,19.47,East,Accessories,New,Email,1,8.21,10.43,Card
ORD-JYLR-000214,2025-01-05,275.64,North,Apparel,Returning,Social,5,14.81,102.34,Card
ORD-CHPD-000215,2025-01-05,24.35,Central,Accessories,Returning,Email,1,9.80,11.09,COD
ORD-AXFR-000216,2025-01-05,31.51,North,Accessories,Returning,Organic,1,7.34,14.92,Card
ORD-EUZN-000217,2025-01-05,299.77,West,Home,Returning,Email,4,4.82,107.10,COD
ORD-AVTU-000218,2025-01-05,107.78,Central,Apparel,New,Organic,2,10.54,41.11,Card
ORD-IZVF-000219,2025-01-05,425.21,East,Home,Returning,Email,5,16.11,112.43,Card
ORD-JJPD-000220,2025-01-05,78.69,South,Sports,New,Social,1,13.94,28.83,Bank Transfer
ORD-OVEX-000221,2025-01-05,71.76,South,Sports,New,Email,1,5.53,26.78,Card
ORD-AJLK-000222,2025-01-05,247.70,West,Home,New,Organic,4,11.08,77.19,Wallet
ORD-ZPTO-000223,2025-01-05,85.16,South,Sports,Returning,Organic,1,3.42,32.80,Card
ORD-OPBR-000224,2025-01-05,208.76,East,Electronics,Returning,Referral,1,5.96,49.55,Card
ORD-EMYR-000225,2025-01-05,89.12,North,Home,Returning,Social,1,7.22,29.79,Wallet
ORD-DEFK-000226,2025-01-05,53.45,West,Accessories,New,Organic,2,14.09,25.51,Card
ORD-GXTS-000227,2025-01-05,200.39,West,Sports,Returning,Paid Search,2,11.15,72.37,Card
ORD-BHIP-000228,2025-01-05,150.21,West,Sports,Returning,Paid Search,2,1.86,59.83,COD
ORD-QIJP-000229,2025-01-05,24.92,East,Accessories,New,Paid Search,1,5.64,12.82,Bank Transfer
ORD-QKOJ-000230,2025-01-05,287.91,Central,Home,Returning,Social,3,7.70,97.27,Bank Transfer
ORD-PYZW-000231,2025-01-05,84.87,East,Sports,Returning,Paid Search,1,11.29,32.79,Card
ORD-HVKQ-000232,2025-01-05,191.83,West,Electronics,Returning,Organic,1,15.72,36.62,Bank Transfer
ORD-CZTQ-000233,2025-01-05,324.67,East,Electronics,New,Social,2,11.24,77.60,Card
ORD-ULUW-000234,2025-01-05,179.28,North,Apparel,Returning,Organic,3,4.91,77.11,Card
ORD-HPMH-000235,2025-01-05,243.66,North,Home,Returning,Referral,3,6.06,86.64,Card
ORD-LRXV-000236,2025-01-05,60.40,North,Apparel,Returning,Organic,1,7.62,27.46,Wallet
ORD-YJVD-000237,2025-01-05,34.75,North,Beauty,New,Social,1,6.41,16.00,Card
ORD-QBDZ-000238,2025-01-05,421.51,North,Electronics,New,Email,2,12.66,101.15,COD
ORD-XDXC-000239,2025-01-06,641.69,West,Electronics,Returning,Email,3,5.42,187.11,Bank Transfer
ORD-MEWM-000240,2025-01-06,218.37,West,Sports,Returning,Referral,2,2.13,90.49,Bank Transfer
ORD-SABK-000241,2025-01-06,76.08,North,Beauty,Returning,Email,2,10.34,36.85,Card
ORD-RWUQ-000242,2025-01-06,56.43,South,Apparel,Returning,Referral,1,10.02,22.39,Card
ORD-LNSO-000243,2025-01-06,356.69,North,Electronics,Returning,Organic,2,5.56,93.75,Bank Transfer
ORD-ZATE-000244,2025-01-06,370.94,East,Home,Returning,Email,3,5.77,129.89,Bank Transfer
ORD-BOMY-000245,2025-01-06,74.98,Central,Home,New,Paid Search,1,16.18,22.28,Wallet
ORD-CZCH-000246,2025-01-06,16.24,West,Accessories,New,Paid Search,1,9.24,8.18,Card
ORD-FIAO-000247,2025-01-06,35.57,West,Beauty,New,Email,1,14.74,15.78,COD
ORD-HKBT-000248,2025-01-06,86.81,West,Apparel,New,Paid Search,2,10.16,37.82,Wallet
ORD-BDXV-000249,2025-01-06,233.02,East,Electronics,Returning,Email,1,4.31,56.36,COD
ORD-XZAM-000250,2025-01-06,44.16,South,Accessories,Returning,Organic,2,8.75,23.18,Wallet
ORD-ANJA-000251,2025-01-06,209.16,East,Apparel,Returning,Referral,4,7.68,85.20,Card
ORD-IFFJ-000252,2025-01-06,379.71,North,Sports,Returning,Paid Search,4,6.73,129.13,Card
ORD-QXAG-000253,2025-01-06,84.88,South,Home,New,Social,1,8.12,30.72,Card
ORD-ELCK-000254,2025-01-06,107.47,Central,Apparel,Returning,Email,2,10.43,43.12,Wallet
ORD-BEPT-000255,2025-01-06,83.97,Central,Home,Returning,Email,1,15.53,23.06,Bank Transfer
ORD-SAIT-000256,2025-01-06,166.99,North,Home,New,Social,2,12.28,51.07,Bank Transfer
ORD-UNZM-000257,2025-01-06,62.39,West,Sports,New,Paid Search,1,14.90,20.33,Card
ORD-GDFI-000258,2025-01-06,28.60,South,Accessories,Returning,Email,1,2.22,15.34,Card
ORD-LYIQ-000259,2025-01-06,34.82,East,Beauty,New,Social,1,6.62,16.85,Card
ORD-QDSY-000260,2025-01-06,156.05,Central,Home,Returning,Organic,2,10.36,51.62,Card
ORD-VRLJ-000261,2025-01-06,94.24,Central,Sports,New,Organic,1,0.00,41.38,COD
ORD-OKXX-000262,2025-01-06,349.83,West,Electronics,New,Paid Search,2,10.02,80.45,Card
ORD-YUEG-000263,2025-01-06,177.09,Central,Home,Returning,Email,2,7.67,60.42,Wallet
ORD-MCJQ-000264,2025-01-06,57.97,Central,Apparel,New,Organic,1,9.81,23.25,Card
ORD-NEST-000265,2025-01-06,33.72,East,Apparel,New,Social,1,18.37,12.82,Card
ORD-YFYP-000266,2025-01-06,127.05,North,Apparel,Returning,Organic,2,6.54,49.91,Card
ORD-NSZT-000267,2025-01-06,177.72,North,Electronics,New,Social,1,16.46,33.56,COD
ORD-WVFL-000268,2025-01-06,170.92,West,Sports,New,Paid Search,2,10.99,63.53,Wallet
ORD-XMRI-000269,2025-01-06,68.08,South,Sports,New,Paid Search,1,12.68,23.75,Card
ORD-ZVGI-000270,2025-01-06,406.74,Central,Electronics,Returning,Paid Search,2,5.81,106.45,Card
ORD-EVPI-000271,2025-01-06,107.77,West,Apparel,Returning,Email,2,1.90,47.88,Card
ORD-MTWV-000272,2025-01-06,197.06,North,Apparel,Returning,Paid Search,3,9.03,81.21,Card
